epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.317,0.84243,1.91873,0.91745,0.00478,0.96269,0.60002,0.46379,0.69404,3.17016,0.87242,0.00064,0.00064,0.00064
2,533.551,0.69194,1.11273,0.89034,0.96595,0.42346,0.82034,0.66816,0.6392,2.57904,0.85396,0.00119887,0.00119887,0.00119887
3,702.944,0.63198,1.25088,0.86548,0.98425,0.93289,0.97771,0.83833,0.58739,1.56693,0.84822,0.00164773,0.00164773,0.00164773
4,867.561,0.54979,0.99392,0.85704,0.92551,0.93284,0.97488,0.83802,0.54488,1.15657,0.83228,0.001505,0.001505,0.001505
5,1031.32,0.49598,0.84665,0.84285,1,0.96919,0.99456,0.87509,0.51617,0.78062,0.84265,0.00134,0.00134,0.00134
6,1247.4,0.49357,0.77307,0.83079,0.99975,1,0.995,0.89203,0.49749,0.6816,0.83365,0.001175,0.001175,0.001175
7,1431.44,0.46225,0.70583,0.82403,0.99938,1,0.995,0.8944,0.45107,0.61033,0.81704,0.00101,0.00101,0.00101
8,1619.93,0.40603,0.61767,0.81126,0.99941,1,0.995,0.94219,0.34807,0.50904,0.7835,0.000845,0.000845,0.000845
9,159.681,0.40373,0.58051,0.8027,1,0.99954,0.995,0.94582,0.32526,0.48397,0.78015,0.00068,0.00068,0.00068
10,324.808,0.37369,0.54215,0.81343,1,0.99991,0.995,0.94784,0.31356,0.48088,0.77507,0.000515,0.000515,0.000515
11,495.187,0.3638,0.50892,0.80145,0.99949,1,0.995,0.9685,0.27014,0.42227,0.77089,0.00035,0.00035,0.00035
12,661.446,0.31449,0.48306,0.80227,0.99939,1,0.995,0.97083,0.25001,0.40483,0.76957,0.000185,0.000185,0.000185
